Metric,Mean,Std,Min,Max
Accuracy,0.780605317152751,0.11596758423226629,0.4199066874027994,0.8725718725718725
Precision,0.7856628267747341,0.12390824051713198,0.33629300045704813,0.8729672494829248
Recall,0.780605317152751,0.11596758423226629,0.4199066874027994,0.8725718725718725
F1,0.7764041534820804,0.12903410474292865,0.33957285753149113,0.8726913313308613
FPR,0.07313156094908298,0.03865586141075543,0.042476042476042475,0.1933644375324002
AUC,0.921575020314406,0.08833829947654837,0.6225994525605915,0.9767311920005133
