Dataset,R²,MSE,RMSE,MAE
Train,-0.011467319135763931,340290811392.2152,583344.5048958764,475978.59810661466
Validation,-0.009349059405287186,314104692289.34656,560450.4369606171,458168.69873687765
Test,-0.013453168770769519,326488564362.02466,571391.7783465427,471408.8840585339
