Dataset,R²,MSE,RMSE,MAE
Train,0.9188836592496216,27290199978.67934,165197.4575430244,127410.97898216944
Validation,0.8901014702121615,34199906920.604572,184932.16843103466,138746.04170445984
Test,0.8962261718525198,33431212427.22732,182842.04228575912,138907.1152310901
