Dataset,R²,MSE,RMSE,MAE
Train,1.0,1.1358357082386019e-17,3.3702161773966396e-09,2.5857181708735833e-09
Validation,0.9266302013883422,22832337139.96306,151103.72973544715,85159.51014172495
Test,0.9219941543480709,25129939244.883427,158524.25443724197,88769.0001306138
