Dataset,R²,MSE,RMSE,MAE
Train,1.937795701678624e-09,336432828124.94476,580028.299417317,482346.4059851536
Validation,-0.00021474522625175574,311262136567.1758,557908.7170560932,463132.6677238622
Test,-4.275029591704893e-05,322168336836.70233,567598.7463311581,475627.82152215304
