Dataset,R²,MSE,RMSE,MAE
Train,0.9897648187185564,3443450991.560276,58680.92527866509,42179.757931037406
Validation,0.9534076884178916,14499308793.303335,120413.07567412824,76183.55017124828
Test,0.9566300989209398,13971811600.33274,118202.41791237918,75600.38321198309
