Dataset,R²,MSE,RMSE,MAE
Train,-0.03256347776435531,347388251715.95807,589396.5148488394,473791.63695423404
Validation,-0.03026556934908453,320613812061.58325,566227.703368162,457580.794949887
Test,-0.03688087401536966,334035906545.4662,577958.3951682562,471044.3582544944
