Dataset,R²,MSE,RMSE,MAE
Train,0.1168359291690978,297125386623.74774,545092.0900396076,450716.1292052164
Validation,0.10792904241406776,277608297171.13837,526885.4687416786,429589.77121543
Test,0.1174217171771278,284326622457.9903,533222.8637802305,439896.36862772476
