Dataset,R²,MSE,RMSE,MAE
Train,0.11529942904633195,297642315706.4659,545566.0507275594,455695.98360972543
Validation,0.10801771938872817,277580701312.6201,526859.2803705939,436552.76116116927
Test,0.10958391507163168,286851606182.97174,535585.2930980944,447683.43866362964
