Dataset,R²,MSE,RMSE,MAE
Train,0.9766063347251718,7870396983.869993,88715.25789778212,66384.38493612429
Validation,0.9382881752310059,19204430369.31155,138580.0504016056,91904.31859882607
Test,0.9401488703510966,19281314614.87958,138857.17343687933,92062.76658164288
