Dataset,R²,MSE,RMSE,MAE
Train,0.9809886910260951,6396028456.842155,79975.17400320024,46433.575769760326
Validation,0.9425262866230694,17885549985.674583,133736.86846070003,76932.39942448917
Test,0.9421141928553749,18648176999.14893,136558.3281940319,80138.5908080603
