Dataset,R²,MSE,RMSE,MAE
Train,0.3772379483660959,209517598686.08954,457730.9238909794,399349.8850546866
Validation,0.3087298128444349,215120039397.70096,463810.34852372686,396692.0499573687
Test,0.3262307304998713,217057845679.40244,465894.67230201553,399090.64579684153
