Dataset,R²,MSE,RMSE,MAE
Train,0.15901920304038286,282933548468.1614,531914.982368575,442120.01641297137
Validation,0.13423409179577095,269422289204.21732,519059.04211777035,424976.0028127545
Test,0.14715945446031864,274746474650.33157,524162.6414104038,431628.26597804076
