,MAE,MAE,MAE,MSE,MSE,MSE,R2,R2,R2,RMSE,RMSE,RMSE
Split,Test,Train,Validation,Test,Train,Validation,Test,Train,Validation,Test,Train,Validation
Model,,,,,,,,,,,,
CNN_DNN,1104921.0773191082,966976.2775426508,1228967.3033411487,1463551230733.526,1216230572991.8977,1960719433408.5723,-5.030270356591973,-3.3253350321194555,-3.3536807729823668,1209773.214587563,1102828.4422302037,1400256.9169293798
LSTM_DNN,1104921.25,956298.9375,1228967.5,1463551131648.0,1189880659968.0,1960719155200.0,-5.030270099639893,-3.3209686279296875,-3.35368013381958,1209773.1736354546,1090816.510678125,1400256.8175874024
MLP_DNN,103825.46047202797,74528.99672397047,108709.3424504662,29646791564.93387,13743653723.547382,37412251657.53335,0.8778463202463512,0.9511228312789877,0.9169279408669788,172182.4368654767,117233.33025870835,193422.46937089122
