Dataset,R²,MSE,RMSE,MAE
Train,0.9838111429867453,5446462959.633761,73800.15555291034,48213.998775894186
Validation,0.947665006430942,16286404487.91782,127618.19810637439,77041.69053522828
Test,0.9479599427448545,16764941988.545961,129479.50412534781,78929.19313966364
