Dataset,R²,MSE,RMSE,MAE
Train,1.5973220524045928e-09,336432828239.49133,580028.2995160592,482346.4060434128
Validation,-0.00021474553862543821,311262136664.385,557908.7171432124,463132.6677787976
Test,-4.2750591104923075e-05,322168336931.79846,567598.7464149286,475627.82157462434
