Model,Split,R2,RMSE,MAE,MSE
Naive_LastWeek,Train,0.9296623424640633,140784.80949416984,81869.07969601678,19820362584.309692
Naive_LastWeek,Validation,0.844122133995109,264954.7205538508,124276.20815073814,70201003943.76917
Naive_LastWeek,Test,0.7879033447650042,226883.2751679557,112506.15930069929,51476020550.9383
