Dataset,R²,MSE,RMSE,MAE
Train,0.979506301723104,6894752883.396026,83034.64869195284,39260.26818205868
Validation,0.9028004830184998,30248033708.116905,173919.6185256767,90310.8323643106
Test,0.8869452054588727,36421118115.15303,190843.17675817764,99598.63147168263
