Model,R2,RMSE,MAE,Training_Time_sec
LSTM_DNN,-3.605703659012529,1199586.0723714025,1061503.2152142294,4.811208963394165
CNN_DNN,-3.6591519959826426,1206526.481881718,1069578.0736948585,6.212554216384888
MLP_DNN,-3.6626311484300977,1206976.8756677401,1069953.6173167059,3.6874442100524902
