Dataset,R²,MSE,RMSE,MAE
Train,-3.2760334370554984,1438598025173.1184,1199415.701570193,1049840.5576068377
Validation,-3.4867730949939135,1396262739082.1145,1181635.6202662962,1041665.6998394198
Test,-3.445461809577975,1432125813860.4805,1196714.5916468473,1053551.7306837605
