Dataset,R²,MSE,RMSE,MAE
Train,0.1709480072696603,278920307117.3799,528129.0629357372,437699.617671569
Validation,0.14566046409942313,265866455746.031,515622.39647442685,420289.6940607307
Test,0.15717132777633047,271521103961.0437,521076.86953178386,427590.5829769638
