Dataset,R²,MSE,RMSE,MAE
Train,0.15873334410992246,283029720796.7673,532005.3766615214,441891.9280098866
Validation,0.13556834924565409,269007074545.00195,518658.9192764374,424218.24276789796
Test,0.14843825587508552,274334502937.30438,523769.51318046794,430955.3248081627
