Dataset,R²,MSE,RMSE,MAE
Train,0.4216853941554798,194564018767.25998,441094.11554367846,360853.90309603163
Validation,0.31998727538984206,211616769863.90118,460018.22775179375,373009.97839365737
Test,0.3342472621853565,214475283404.39243,463114.76267162163,377797.68465971196
