Model Family,Count,Best R²,Mean R²,Std R²,Representative Model
Gradient Boosting,5,0.9809985324257167,0.9695960727145696,0.022372359236144362,CatBoostRegressor
Random Forest,2,0.9796921828627377,0.9730882180771615,0.009339416565196237,ExtraTreesRegressor
Linear Models,7,0.9622504852128037,0.9138811535433644,0.08430879594608635,BayesianRidge
Tree-based,1,0.9517212894808247,0.9517212894808247,,DecisionTreeRegressor
Instance-based,1,0.94041403523041,0.94041403523041,,KNeighborsRegressor
Kernel Methods,3,0.04867327946691047,-0.788713076947753,1.3912511969507801,SVR
