Dataset,R²,MSE,RMSE,MAE
Train,0.9910247952540756,3019553521.523056,54950.464252115795,30171.268563170244
Validation,0.9407392898542385,18441654997.083035,135800.05521752572,76422.87344830352
Test,0.931240336541466,22151239445.846058,148832.9246028783,80997.27711076144
