Dataset,R²,MSE,RMSE,MAE
Train,0.99122820327148,2951120386.8317914,54324.215473689,40546.393378496505
Validation,0.9548075788699493,14063669451.70484,118590.34299513954,73746.47947649572
Test,0.9550268157107509,14488316604.895721,120367.42335406088,74990.77028506216
