Dataset,R²,MSE,RMSE,MAE
Train,0.5545579666467009,149861323337.17703,387119.26242073905,291892.3372991453
Validation,0.2714842815721916,226710674005.62766,476141.4432767092,369527.33021652425
Test,0.305118313066724,223859307325.94366,473137.72553659644,366184.6811608392
