Dataset,R²,MSE,RMSE,MAE
Train,0.1585794061888247,283081510567.01825,532054.048539261,442730.7630660609
Validation,0.13592827384155526,268895067699.21414,518550.93067047343,425025.38143107755
Test,0.14748667238408975,274641059902.55875,524062.0763827113,432507.8283974963
