Dataset,R²,MSE,RMSE,MAE
Train,0.17644375102528442,277071358499.4424,526375.6819035644,435632.1044854183
Validation,0.14875436156152722,264903649369.72986,514687.9145363041,419357.14307433774
Test,0.16115720242571197,270237036248.6876,519843.2804689194,425691.3518327935
