Dataset,R²,MSE,RMSE,MAE
Train,0.15901920304038242,282933548468.1615,531914.9823685751,442120.0163740925
Validation,0.13423409185516255,269422289185.73492,519059.0420999666,424976.0028337133
Test,0.14715945414711884,274746474751.23035,524162.6415066514,431628.2661015806
