Dataset,R²,MSE,RMSE,MAE
Train,0.15901908427837952,282933588423.5981,531915.0199266778,442129.11963985686
Validation,0.13426975125480922,269411192147.84808,519048.35241800745,424975.09734706866
Test,0.14717238310118108,274742309629.66327,524158.66837214783,431642.18959970045
