Dataset,R²,MSE,RMSE,MAE
Train,0.15361973869110557,284750105533.06866,533619.8136623758,439675.26073409535
Validation,0.12767693437520367,271462845832.95547,521020.9648689345,424053.1330899855
Test,0.13847525613574596,277544128780.7773,526824.5711627138,430667.7717222558
