Dataset,R²,MSE,RMSE,MAE
Train,-0.034275762755829,347964320599.31177,589885.006250635,474371.7924427438
Validation,-0.031631888466002955,321039004161.17426,566603.0393151578,458017.2953786265
Test,-0.038316131593681746,334498281325.7446,578358.2638172853,471527.0175692998
