Model,R² Score,RMSE,MAE,MAPE (%)
MLP,-0.19879529377647898,4829109.170752853,2098673.764100996,272.8549872058035
CNN,0.9970464404189496,239699.6373263739,86021.88529842807,119.30541001923078
LSTM,0.9985441032426913,168290.57652806354,77508.25856353584,253.8115092713598
