Dataset,R²,MSE,RMSE,MAE
Train,1.0,0.0,0.0,0.0
Validation,0.8878053153886049,34914459530.11203,186854.11296011665,95451.29549857549
Test,0.8686406271742807,42318021563.22985,205713.44526605413,107376.92174825177
