Dataset,R²,MSE,RMSE,MAE
Train,0.1590192030403873,282933548468.15985,531914.9823685735,442120.01705280674
Validation,0.13423408811059656,269422290351.02628,519059.04322247027,424976.00322962785
Test,0.14715945736689817,274746473713.9637,524162.6405172003,431628.2637428658
