Dataset,R²,MSE,RMSE,MAE
Train,-1.329750429288393,783804527269.6514,885327.3559930538,642153.3277193835
Validation,-1.5513876782096014,793979876542.4591,891055.4845476566,640770.1766298143
Test,-1.5946668074992698,835883755739.5259,914266.7858669732,657720.3873611437
