Dataset,R²,MSE,RMSE,MAE
Train,0.9909516137288619,3044174189.064905,55174.0354611198,30358.55364151864
Validation,0.9409850062288484,18365189213.994297,135518.22465629593,76225.18348703886
Test,0.9305316349237156,22379550906.967632,149597.96424740422,80889.4925243235
