Dataset,R²,MSE,RMSE,MAE
Train,-0.1299591663988957,380155358753.94904,616567.4000090737,471624.331253385
Validation,-0.1453133075932822,356416128498.14996,597005.9702366049,461316.16823220026
Test,-0.1458463339345848,369139626845.85547,607568.6190430308,472152.17994425644
